reference_date,horizon,location,output_type_id,term,coefficient,selected_alpha,training_sample_count
2026-01-11,0,SE,0.975,hubdemo-persistence,0,0.01,14
2026-01-18,0,SE,0.025,intercept,29,1,15
2026-01-18,0,SE,0.025,hubdemo-damped4,0,1,15
2026-01-18,0,SE,0.025,hubdemo-exptrend4,0,1,15
2026-01-18,0,SE,0.025,hubdemo-linear4,0,1,15
2026-01-18,0,SE,0.025,hubdemo-mean3,0,1,15
2026-01-18,0,SE,0.025,hubdemo-mean6,0,1,15
2026-01-18,0,SE,0.025,hubdemo-persistence,0,1,15
2026-01-18,0,SE,0.1,intercept,33,0.1,15
2026-01-18,0,SE,0.1,hubdemo-damped4,0,0.1,15
2026-01-18,0,SE,0.1,hubdemo-exptrend4,0,0.1,15
2026-01-18,0,SE,0.1,hubdemo-linear4,0,0.1,15
2026-01-18,0,SE,0.1,hubdemo-mean3,0,0.1,15
2026-01-18,0,SE,0.1,hubdemo-mean6,0,0.1,15
2026-01-18,0,SE,0.1,hubdemo-persistence,0,0.1,15
2026-01-18,0,SE,0.25,intercept,20.3248334834,0.1,15
2026-01-18,0,SE,0.25,hubdemo-damped4,0.188284874519,0.1,15
2026-01-18,0,SE,0.25,hubdemo-exptrend4,0.418857555825,0.1,15
2026-01-18,0,SE,0.25,hubdemo-linear4,0,0.1,15
2026-01-18,0,SE,0.25,hubdemo-mean3,0,0.1,15
2026-01-18,0,SE,0.25,hubdemo-mean6,0,0.1,15
2026-01-18,0,SE,0.25,hubdemo-persistence,0,0.1,15
2026-01-18,0,SE,0.5,intercept,32.512554721,0.01,15
2026-01-18,0,SE,0.5,hubdemo-damped4,0,0.01,15
2026-01-18,0,SE,0.5,hubdemo-exptrend4,0.618281347193,0.01,15
2026-01-18,0,SE,0.5,hubdemo-linear4,0,0.01,15
2026-01-18,0,SE,0.5,hubdemo-mean3,0,0.01,15
2026-01-18,0,SE,0.5,hubdemo-mean6,-0.0390376506707,0.01,15
2026-01-18,0,SE,0.5,hubdemo-persistence,0,0.01,15
2026-01-18,0,SE,0.75,intercept,270.963718276,0.1,15
2026-01-18,0,SE,0.75,hubdemo-damped4,0,0.1,15
2026-01-18,0,SE,0.75,hubdemo-exptrend4,0.520673196199,0.1,15
2026-01-18,0,SE,0.75,hubdemo-linear4,0,0.1,15
2026-01-18,0,SE,0.75,hubdemo-mean3,0,0.1,15
2026-01-18,0,SE,0.75,hubdemo-mean6,0,0.1,15
2026-01-18,0,SE,0.75,hubdemo-persistence,0,0.1,15
2026-01-18,0,SE,0.9,intercept,210.962091167,0.01,15
2026-01-18,0,SE,0.9,hubdemo-damped4,0,0.01,15
2026-01-18,0,SE,0.9,hubdemo-exptrend4,0.575120123947,0.01,15
2026-01-18,0,SE,0.9,hubdemo-linear4,0.258669955552,0.01,15
2026-01-18,0,SE,0.9,hubdemo-mean3,0,0.01,15
2026-01-18,0,SE,0.9,hubdemo-mean6,0,0.01,15
2026-01-18,0,SE,0.9,hubdemo-persistence,0,0.01,15
2026-01-18,0,SE,0.975,intercept,234.146817468,0.01,15
2026-01-18,0,SE,0.975,hubdemo-damped4,0,0.01,15
2026-01-18,0,SE,0.975,hubdemo-exptrend4,0.548626465701,0.01,15
2026-01-18,0,SE,0.975,hubdemo-linear4,0.279279862273,0.01,15
